1001,15000,15000
16,10,213
14,14,584
17,37,165
53,29,604
51,35,878
17,7,270
44,14,954
28,11,733
33,16,476
55,37,643
54,13,122
10,56,809
56,33,181
19,52,19
38,6,69
5,3,215
7,18,57
52,13,635
58,1,329
28,13,460
35,54,697
9,14,501
24,10,337
2,41,720
57,47,627
3,48,278
1,46,252
39,57,930
1,54,149
25,14,450
14,52,752
17,29,245
56,32,68
16,43,358
17,4,61
9,13,646
22,2,34
3,36,584
42,41,990
29,28,724
23,27,279
6,38,675
49,54,763
3,4,246
1,21,808
26,57,749
55,52,727
38,17,598
47,16,580
12,57,109
19,50,13
13,8,840
8,49,206
47,41,810
6,40,650
58,1,116
40,54,844
38,10,7
49,27,897
15,45,635
41,43,790
18,13,453
18,35,502
42,56,584
12,20,172
18,36,349
39,50,973
3,37,978
30,31,703
17,56,344
38,45,33
48,1,294
38,10,303
2,15,112
25,8,900
48,27,906
24,35,223
19,5,734
45,20,974
42,36,984
6,7,829
30,30,982
34,24,308
13,31,165
5,29,74
3,44,595
54,9,430
44,32,430
45,20,875
46,29,767
22,43,70
56,34,847
49,40,785
34,17,196
47,44,309
53,20,636
48,11,626
1,5,10
1,34,734
11,5,641
23,12,374
43,40,950
33,55,932
8,36,720
56,22,233
40,46,646
53,26,145
33,30,607
11,29,885
46,11,15
53,45,88
25,19,853
53,57,575
36,8,964
23,35,971
8,34,283
34,57,826
6,14,208
15,22,91
34,19,343
5,12,639
54,36,827
1,7,237
48,50,699
24,43,633
12,29,488
45,11,356
49,11,978
39,6,608
13,48,871
28,38,641
2,5,16
30,11,781
55,32,357
13,33,259
43,58,61
13,26,212
19,3,942
44,14,960
40,31,40
28,31,800
16,18,722
22,31,82
37,25,900
28,11,151
39,34,663
52,47,85
34,53,489
47,43,894
40,19,849
25,13,847
52,27,640
18,35,166
52,41,349
42,55,538
46,31,402
22,21,146
35,58,334
48,28,518
49,33,506
11,19,32
56,34,268
28,13,298
25,47,956
46,40,699
38,7,637
28,37,635
30,41,124
50,39,441
47,58,505
58,60,632
55,32,103
20,9,231
33,45,284
3,53,451
55,24,514
34,47,907
45,14,16
47,23,995
48,36,272
18,36,257
19,57,77
33,15,932
2,51,191
42,4,815
45,46,497
27,34,436
47,27,366
58,10,203
29,2,449
5,45,462
47,34,543
51,3,219
49,49,355
17,9,543
3,7,615
19,38,805
40,34,187
